INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 1, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 2, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 3, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 4, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 5, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 6, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 7, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 8, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 9, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 10, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 11, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 12, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 13, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 14, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 15, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 16, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 17, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 18, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 19, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 20, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 1, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 2, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 3, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 4, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 5, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 6, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 7, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 8, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 9, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 10, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 11, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 12, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 13, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 14, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 15, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 16, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 17, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 18, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 19, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 20, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 1, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 2, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 3, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 4, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 5, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 6, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 7, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 8, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 9, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 10, 'neat-kiwi', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 11, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 12, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 13, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 14, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 15, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 16, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 17, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 18, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 19, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 20, 'dazzling-impala', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 1, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 2, 'amiable-elk', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 3, 'affable-wren', DEFAULT);
INSERT INTO public.bikes(bike_id, station_id, name, status) VALUES(DEFAULT, 4, 'dazzling-impala', DEFAULT);
